muni_code_hecho|region
5001|Resto del país
5002|Resto del país
5004|Resto del país
5021|Resto del país
5030|Resto del país
5031|Resto del país
5034|Resto del país
5036|Resto del país
5038|Resto del país
5040|Resto del país
5042|Resto del país
5044|Resto del país
5045|Resto del país
5051|Resto del país
5055|Resto del país
5059|Resto del país
5079|Resto del país
5086|Resto del país
5088|Resto del país
5091|Resto del país
5093|Resto del país
5101|Resto del país
5107|Resto del país
5113|Resto del país
5120|Resto del país
5125|Resto del país
5129|Resto del país
5134|Resto del país
5138|Resto del país
5142|Resto del país
5145|Resto del país
5147|Resto del país
5148|Resto del país
5150|Resto del país
5154|Resto del país
5172|Resto del país
5190|Resto del país
5197|Resto del país
5206|Resto del país
5209|Resto del país
5212|Resto del país
5234|Resto del país
5237|Resto del país
5240|Resto del país
5250|Resto del país
5264|Resto del país
5266|Resto del país
5282|Resto del país
5284|Resto del país
5306|Resto del país
5308|Resto del país
5310|Resto del país
5313|Resto del país
5315|Resto del país
5318|Resto del país
5321|Resto del país
5347|Resto del país
5353|Resto del país
5360|Resto del país
5361|Resto del país
5364|Resto del país
5368|Resto del país
5376|Resto del país
5380|Resto del país
5390|Resto del país
5400|Resto del país
5411|Resto del país
5425|Resto del país
5440|Resto del país
5467|Resto del país
5475|Resto del país
5480|Resto del país
5483|Resto del país
5490|Resto del país
5495|Resto del país
5501|Resto del país
5541|Resto del país
5543|Resto del país
5576|Resto del país
5579|Resto del país
5585|Resto del país
5591|Resto del país
5604|Resto del país
5607|Resto del país
5615|Resto del país
5628|Resto del país
5631|Resto del país
5642|Resto del país
5647|Resto del país
5649|Resto del país
5652|Resto del país
5656|Resto del país
5658|Resto del país
5659|Resto del país
5660|Resto del país
5664|Resto del país
5665|Resto del país
5667|Resto del país
5670|Resto del país
5674|Resto del país
5679|Resto del país
5686|Resto del país
5690|Resto del país
5697|Resto del país
5736|Resto del país
5756|Resto del país
5761|Resto del país
5789|Resto del país
5790|Resto del país
5792|Resto del país
5809|Resto del país
5819|Resto del país
5837|Resto del país
5842|Resto del país
5847|Resto del país
5854|Resto del país
5856|Resto del país
5858|Resto del país
5861|Resto del país
5873|Resto del país
5885|Resto del país
5887|Resto del país
5890|Resto del país
5893|Resto del país
5895|Resto del país
8001|Resto del país
8078|Resto del país
8137|Resto del país
8141|Resto del país
8296|Resto del país
8372|Resto del país
8421|Resto del país
8433|Resto del país
8436|Resto del país
8520|Resto del país
8549|Resto del país
8558|Resto del país
8560|Resto del país
8573|Resto del país
8606|Resto del país
8634|Resto del país
8638|Resto del país
8675|Resto del país
8685|Resto del país
8758|Resto del país
8770|Resto del país
8832|Resto del país
8849|Resto del país
11001|Resto del país
13001|Resto del país
13006|Resto del país
13030|Resto del país
13042|Resto del país
13052|Resto del país
13062|Resto del país
13074|Resto del país
13140|Resto del país
13160|Resto del país
13188|Resto del país
13212|Resto del país
13222|Resto del país
13244|Resto del país
13248|Resto del país
13268|Resto del país
13300|Resto del país
13430|Resto del país
13433|Resto del país
13440|Resto del país
13442|Resto del país
13458|Resto del país
13468|Resto del país
13473|Resto del país
13490|Resto del país
13549|Resto del país
13580|Resto del país
13600|Resto del país
13620|Resto del país
13647|Resto del país
13650|Resto del país
13654|Resto del país
13655|Resto del país
13657|Resto del país
13667|Resto del país
13670|Resto del país
13673|Resto del país
13683|Resto del país
13688|Resto del país
13744|Resto del país
13760|Resto del país
13780|Resto del país
13810|Resto del país
13836|Resto del país
13838|Resto del país
13873|Resto del país
13894|Resto del país
15001|Resto del país
15022|Resto del país
15047|Resto del país
15051|Resto del país
15087|Resto del país
15090|Resto del país
15092|Resto del país
15097|Resto del país
15104|Resto del país
15106|Resto del país
15109|Resto del país
15114|Resto del país
