macroregion|cod_mpio
Amazonía|91263
Amazonía|91405
Amazonía|91407
Amazonía|91430
Amazonía|91001
Amazonía|91460
Amazonía|91530
Amazonía|91536
Amazonía|91540
Amazonía|91669
Amazonía|91798
Amazonía|94343
Amazonía|94886
Amazonía|94001
Amazonía|94885
Amazonía|94663
Amazonía|94888
Amazonía|94887
Amazonía|94884
Amazonía|94883
Amazonía|97161
Amazonía|97001
Amazonía|97511
Amazonía|97777
Amazonía|97666
Amazonía|97889
Antioquia-Eje Cafetero|5002
Antioquia-Eje Cafetero|5004
Antioquia-Eje Cafetero|5021
Antioquia-Eje Cafetero|5030
Antioquia-Eje Cafetero|5031
Antioquia-Eje Cafetero|5034
Antioquia-Eje Cafetero|5036
Antioquia-Eje Cafetero|5038
Antioquia-Eje Cafetero|5040
Antioquia-Eje Cafetero|5044
Antioquia-Eje Cafetero|5045
Antioquia-Eje Cafetero|5051
Antioquia-Eje Cafetero|5055
Antioquia-Eje Cafetero|5059
Antioquia-Eje Cafetero|5079
Antioquia-Eje Cafetero|5088
Antioquia-Eje Cafetero|5086
Antioquia-Eje Cafetero|5091
Antioquia-Eje Cafetero|5093
Antioquia-Eje Cafetero|5107
Antioquia-Eje Cafetero|5113
Antioquia-Eje Cafetero|5120
Antioquia-Eje Cafetero|5125
Antioquia-Eje Cafetero|5129
Antioquia-Eje Cafetero|5134
Antioquia-Eje Cafetero|5138
Antioquia-Eje Cafetero|5142
Antioquia-Eje Cafetero|5145
Antioquia-Eje Cafetero|5147
Antioquia-Eje Cafetero|5150
Antioquia-Eje Cafetero|5154
Antioquia-Eje Cafetero|5172
Antioquia-Eje Cafetero|5190
Antioquia-Eje Cafetero|5101
Antioquia-Eje Cafetero|5197
Antioquia-Eje Cafetero|5206
Antioquia-Eje Cafetero|5209
Antioquia-Eje Cafetero|5212
Antioquia-Eje Cafetero|5234
Antioquia-Eje Cafetero|5237
Antioquia-Eje Cafetero|5240
Antioquia-Eje Cafetero|5250
Antioquia-Eje Cafetero|5148
Antioquia-Eje Cafetero|5697
Antioquia-Eje Cafetero|5264
Antioquia-Eje Cafetero|5266
Antioquia-Eje Cafetero|5282
Antioquia-Eje Cafetero|5284
Antioquia-Eje Cafetero|5306
Antioquia-Eje Cafetero|5308
Antioquia-Eje Cafetero|5310
Antioquia-Eje Cafetero|5313
Antioquia-Eje Cafetero|5315
Antioquia-Eje Cafetero|5318
Antioquia-Eje Cafetero|5321
Antioquia-Eje Cafetero|5347
Antioquia-Eje Cafetero|5353
Antioquia-Eje Cafetero|5360
Antioquia-Eje Cafetero|5361
Antioquia-Eje Cafetero|5364
Antioquia-Eje Cafetero|5368
Antioquia-Eje Cafetero|5376
Antioquia-Eje Cafetero|5380
Antioquia-Eje Cafetero|5390
Antioquia-Eje Cafetero|5400
Antioquia-Eje Cafetero|5411
Antioquia-Eje Cafetero|5425
Antioquia-Eje Cafetero|5440
Antioquia-Eje Cafetero|5001
Antioquia-Eje Cafetero|5467
Antioquia-Eje Cafetero|5475
Antioquia-Eje Cafetero|5480
Antioquia-Eje Cafetero|5483
Antioquia-Eje Cafetero|5495
Antioquia-Eje Cafetero|5490
Antioquia-Eje Cafetero|5501
Antioquia-Eje Cafetero|5541
Antioquia-Eje Cafetero|5543
Antioquia-Eje Cafetero|5576
Antioquia-Eje Cafetero|5604
Antioquia-Eje Cafetero|5607
Antioquia-Eje Cafetero|5615
Antioquia-Eje Cafetero|5628
Antioquia-Eje Cafetero|5631
Antioquia-Eje Cafetero|5642
Antioquia-Eje Cafetero|5647
Antioquia-Eje Cafetero|5649
Antioquia-Eje Cafetero|5652
